HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"OWATONNA HOSPITAL","240069","MN","READM-30-COPD-HRRP","Not Available","","0.9738","17.3","17.7","Too Few to Report","01-JUL-13","30-JUN-16"
"BOZEMAN HEALTH DEACONESS HOSPITAL","270057","MT","READM-30-HF-HRRP","202","","0.8301","15.7","19.0","21","01-JUL-13","30-JUN-16"
"BUCHANAN GENERAL HOSPITAL","490127","VA","READM-30-HF-HRRP","61","","1.1047","24.2","21.9","21","01-JUL-13","30-JUN-16"
"BUCHANAN GENERAL HOSPITAL","490127","VA","READM-30-PN-HRRP","127","","1.0481","18.3","17.5","26","01-JUL-13","30-JUN-16"
"RIVERSIDE WALTER REED HOSPITAL","490130","VA","READM-30-AMI-HRRP","68","","1.0216","17.1","16.7","13","01-JUL-13","30-JUN-16"
"STAFFORD HOSPITAL, LLC","490140","VA","READM-30-AMI-HRRP","Not Available","","1.0002","13.9","13.9","Too Few to Report","01-JUL-13","30-JUN-16"
"RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG","490143","VA","READM-30-PN-HRRP","Not Available","","0.8959","13.4","14.9","Too Few to Report","01-JUL-13","30-JUN-16"
"NOVANT HEALTH UVA HEALTH HAYMARKET MEDICAL CENTER","490144","VA","READM-30-COPD-HRRP","Not Available","","0.9569","17.9","18.8","Too Few to Report","01-JUL-13","30-JUN-16"
"ST MARY MEDICAL CENTER","050191","CA","READM-30-PN-HRRP","212","","1.0190","20.7","20.3","45","01-JUL-13","30-JUN-16"
"DIXIE REGIONAL MEDICAL CENTER","460021","UT","READM-30-HIP-KNEE-HRRP","1429","","0.7653","3.2","4.2","41","01-JUL-13","30-JUN-16"
"SAINT FRANCIS HOSPITAL MUSKOGEE","370025","OK","READM-30-HIP-KNEE-HRRP","Not Available","","0.9962","4.5","4.6","Too Few to Report","01-JUL-13","30-JUN-16"
"ALLIANCEHEALTH CLINTON","370029","OK","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ALLIANCEHEALTH CLINTON","370029","OK","READM-30-HIP-KNEE-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ST ANTHONY HOSPITAL","370037","OK","READM-30-HF-HRRP","378","","0.9752","21.3","21.8","79","01-JUL-13","30-JUN-16"
"MERCY HOSPITAL ARDMORE, INC","370047","OK","READM-30-PN-HRRP","638","","1.0294","17.8","17.3","115","01-JUL-13","30-JUN-16"
"MCCURTAIN MEMORIAL HOSPITAL","370048","OK","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MCCURTAIN MEMORIAL HOSPITAL","370048","OK","READM-30-PN-HRRP","279","","1.0061","16.7","16.6","47","01-JUL-13","30-JUN-16"
"PEACHEALTH ST JOHN MEDICAL CENTER","500041","WA","READM-30-HIP-KNEE-HRRP","338","","1.1832","5.3","4.5","21","01-JUL-13","30-JUN-16"
"WALLA WALLA GENERAL HOSPITAL","500049","WA","READM-30-AMI-HRRP","Not Available","","0.9701","12.7","13.1","Too Few to Report","01-JUL-13","30-JUN-16"
"WALLA WALLA GENERAL HOSPITAL","500049","WA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PEACEHEALTH SOUTHWEST MEDICAL CENTER","500050","WA","READM-30-HIP-KNEE-HRRP","529","","0.9691","4.5","4.6","23","01-JUL-13","30-JUN-16"
"GROUP HEALTH CENTRAL HOSPITAL","500052","WA","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PROVIDENCE SACRED HEART MEDICAL CENTER","500054","WA","READM-30-HF-HRRP","681","","0.8773","18.8","21.4","120","01-JUL-13","30-JUN-16"
"OLYMPIC MEDICAL CENTER","500072","WA","READM-30-COPD-HRRP","180","","0.9833","17.3","17.6","30","01-JUL-13","30-JUN-16"
"OLYMPIC MEDICAL CENTER","500072","WA","READM-30-PN-HRRP","548","","0.8375","12.9","15.4","61","01-JUL-13","30-JUN-16"
"PROVIDENCE HOLY FAMILY HOSPITAL","500077","WA","READM-30-PN-HRRP","607","","0.7795","11.6","14.9","57","01-JUL-13","30-JUN-16"
"CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER","060012","CO","READM-30-HF-HRRP","181","","0.8718","18.4","21.1","25","01-JUL-13","30-JUN-16"
"EVANSTON REGIONAL HOSPITAL","530032","WY","READM-30-HIP-KNEE-HRRP","Not Available","","1.0921","4.4","4.0","Too Few to Report","01-JUL-13","30-JUN-16"
"MOUNTAIN VIEW REGIONAL HOSPITAL","530033","WY","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SUMMIT MEDICAL CENTER","530034","WY","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ASPEN MOUNTAIN MEDICAL CENTER","530035","WY","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD","670005","TX","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HOUSTON PHYSICIANS' HOSPITAL","670008","TX","READM-30-HIP-KNEE-HRRP","273","","1.0597","4.0","3.8","12","01-JUL-13","30-JUN-16"
"SETON MEDICAL CENTER WILLIAMSON","670041","TX","READM-30-AMI-HRRP","116","","0.9462","14.2","15.1","13","01-JUL-13","30-JUN-16"
"SETON MEDICAL CENTER WILLIAMSON","670041","TX","READM-30-CABG-HRRP","Not Available","","0.9663","10.9","11.3","Too Few to Report","01-JUL-13","30-JUN-16"
"KAWEAH DELTA MEDICAL CENTER","050057","CA","READM-30-AMI-HRRP","574","","0.9510","15.0","15.8","83","01-JUL-13","30-JUN-16"
"KAWEAH DELTA MEDICAL CENTER","050057","CA","READM-30-PN-HRRP","1264","","0.9834","16.5","16.8","208","01-JUL-13","30-JUN-16"
"GLENDALE MEM HOSPITAL & HLTH CENTER","050058","CA","READM-30-PN-HRRP","538","","1.0320","18.8","18.2","103","01-JUL-13","30-JUN-16"
"ST JOSEPH'S MEDICAL CENTER OF STOCKTON","050084","CA","READM-30-CABG-HRRP","176","","0.8192","11.8","14.4","15","01-JUL-13","30-JUN-16"
"SONOMA VALLEY HOSPITAL","050090","CA","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"COMMUNITY HOSPITAL OF HUNTINGTON PARK","050091","CA","READM-30-PN-HRRP","122","","1.0871","22.0","20.2","32","01-JUL-13","30-JUN-16"
"NORTHBAY MEDICAL CENTER","050367","CA","READM-30-CABG-HRRP","Not Available","","1.0964","18.0","16.4","Too Few to Report","01-JUL-13","30-JUN-16"
"HUNTINGTON MEMORIAL HOSPITAL","050438","CA","READM-30-PN-HRRP","927","","0.8924","16.1","18.1","143","01-JUL-13","30-JUN-16"
"LOS ROBLES HOSPITAL & MEDICAL CENTER","050549","CA","READM-30-PN-HRRP","960","","1.0452","17.9","17.1","174","01-JUL-13","30-JUN-16"
"COMMUNITY HOSPITAL OF LONG BEACH","050727","CA","READM-30-COPD-HRRP","108","","1.0855","23.7","21.8","32","01-JUL-13","30-JUN-16"
"FOOTHILL PRESBYTERIAN HOSPITAL","050597","CA","READM-30-PN-HRRP","242","","0.9790","17.0","17.4","40","01-JUL-13","30-JUN-16"
"OAKBEND MEDICAL CENTER","450330","TX","READM-30-COPD-HRRP","82","","1.0608","19.2","18.1","20","01-JUL-13","30-JUN-16"
"CAPE FEAR VALLEY HOKE HOSPITAL","340188","NC","READM-30-PN-HRRP","Not Available","","0.9625","14.7","15.3","Too Few to Report","01-JUL-13","30-JUN-16"
"STILLWATER MEDICAL CENTER AUTHORITY","370049","OK","READM-30-AMI-HRRP","82","","1.0040","14.3","14.3","12","01-JUL-13","30-JUN-16"
"THE MIRIAM HOSPITAL","410012","RI","READM-30-HIP-KNEE-HRRP","865","","0.9872","4.1","4.1","35","01-JUL-13","30-JUN-16"
"WESTERLY HOSPITAL","410013","RI","READM-30-HIP-KNEE-HRRP","Not Available","","0.9778","4.8","4.9","Too Few to Report","01-JUL-13","30-JUN-16"
"MUSC MEDICAL CENTER","420004","SC","READM-30-HF-HRRP","601","","1.0377","23.6","22.7","144","01-JUL-13","30-JUN-16"
"SPARTANBURG MEDICAL CENTER","420007","SC","READM-30-CABG-HRRP","263","","0.9018","11.8","13.0","28","01-JUL-13","30-JUN-16"
"CAROLINA PINES REGIONAL MEDICAL CENTER","420010","SC","READM-30-HF-HRRP","236","","0.9791","21.7","22.2","50","01-JUL-13","30-JUN-16"
"CANNON MEMORIAL HOSPITAL","420011","SC","READM-30-PN-HRRP","Not Available","","0.8905","12.2","13.6","Too Few to Report","01-JUL-13","30-JUN-16"
"HOSPITAL OF CENTRAL CONNECTICUT, THE","070035","CT","READM-30-AMI-HRRP","231","","1.0293","18.2","17.7","44","01-JUL-13","30-JUN-16"
"ALVARADO HOSPITAL MEDICAL CENTER","050757","CA","READM-30-PN-HRRP","327","","0.9772","19.7","20.1","63","01-JUL-13","30-JUN-16"
"MANATEE MEMORIAL HOSPITAL","100035","FL","READM-30-COPD-HRRP","517","","1.0053","19.7","19.6","102","01-JUL-13","30-JUN-16"
"LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS","100050","FL","READM-30-HF-HRRP","238","","1.1534","26.0","22.5","71","01-JUL-13","30-JUN-16"
"FLORIDA HOSPITAL NORTH PINELLAS","100055","FL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"UNIVERSITY MEDICAL CENTER","450686","TX","READM-30-PN-HRRP","576","","0.9103","15.2","16.7","82","01-JUL-13","30-JUN-16"
"UH CLEVELAND MEDICAL CENTER","360137","OH","READM-30-HIP-KNEE-HRRP","615","","0.8185","3.5","4.3","18","01-JUL-13","30-JUN-16"
"CENTENNIAL HILLS HOSPITAL MEDICAL CENTER","290054","NV","READM-30-PN-HRRP","226","","0.9939","17.4","17.5","39","01-JUL-13","30-JUN-16"
"BROWNFIELD REGIONAL MEDICAL CENTER","450399","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"UNION HOSPITAL","360010","OH","READM-30-HIP-KNEE-HRRP","Not Available","","0.8490","4.0","4.7","Too Few to Report","01-JUL-13","30-JUN-16"
"MOUNT CARMEL ST ANN'S","360012","OH","READM-30-HIP-KNEE-HRRP","Not Available","","0.8575","5.1","6.0","Too Few to Report","01-JUL-13","30-JUN-16"
"TENNOVA HEALTHCARE","440120","TN","READM-30-HF-HRRP","764","","0.9820","20.8","21.2","158","01-JUL-13","30-JUN-16"
"VIRGINIA MASON MEDICAL CENTER","500005","WA","READM-30-COPD-HRRP","82","","0.9891","20.5","20.7","16","01-JUL-13","30-JUN-16"
"ISLAND HOSPITAL","500007","WA","READM-30-HIP-KNEE-HRRP","416","","0.8956","3.6","4.0","13","01-JUL-13","30-JUN-16"
"UNIVERSITY OF WASHINGTON MEDICAL CTR","500008","WA","READM-30-COPD-HRRP","63","","1.0076","19.8","19.6","13","01-JUL-13","30-JUN-16"
"MULTICARE AUBURN MEDICAL CENTER","500015","WA","READM-30-CABG-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MULTICARE AUBURN MEDICAL CENTER","500015","WA","READM-30-COPD-HRRP","138","","0.8910","17.6","19.8","16","01-JUL-13","30-JUN-16"
"MULTICARE AUBURN MEDICAL CENTER","500015","WA","READM-30-PN-HRRP","316","","0.8889","14.4","16.2","39","01-JUL-13","30-JUN-16"
"PROVIDENCE CENTRALIA HOSPITAL","500019","WA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TIDELANDS HEALTH","420020","SC","READM-30-AMI-HRRP","118","","1.0773","15.5","14.3","23","01-JUL-13","30-JUN-16"
"PROVIDENCE HEALTH","420026","SC","READM-30-HIP-KNEE-HRRP","1266","","1.0363","4.3","4.1","55","01-JUL-13","30-JUN-16"
"ANMED HEALTH","420027","SC","READM-30-AMI-HRRP","221","","0.9875","13.9","14.1","30","01-JUL-13","30-JUN-16"
"UNITED REGIONAL HEALTH CARE SYSTEM","450010","TX","READM-30-HIP-KNEE-HRRP","256","","1.1382","6.1","5.3","18","01-JUL-13","30-JUN-16"
"UNITED REGIONAL HEALTH CARE SYSTEM","450010","TX","READM-30-PN-HRRP","1389","","0.9638","16.1","16.7","222","01-JUL-13","30-JUN-16"
"PARKLAND HEALTH AND HOSPITAL SYSTEM","450015","TX","READM-30-HIP-KNEE-HRRP","Not Available","","1.0042","4.1","4.1","Too Few to Report","01-JUL-13","30-JUN-16"
"CITIZENS MEDICAL CENTER","450023","TX","READM-30-AMI-HRRP","252","","0.9724","14.6","15.0","35","01-JUL-13","30-JUN-16"
"TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON","450743","TX","READM-30-HIP-KNEE-HRRP","Not Available","","1.1152","5.3","4.8","Too Few to Report","01-JUL-13","30-JUN-16"
"SACRED HEART HOSPITAL","390197","PA","READM-30-HF-HRRP","169","","0.9941","20.9","21.0","35","01-JUL-13","30-JUN-16"
"METROPOLITAN HOSPITAL CENTER","330199","NY","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"EVERGREEN HEALTH MONROE","500084","WA","READM-30-PN-HRRP","Not Available","","1.0151","14.3","14.1","Too Few to Report","01-JUL-13","30-JUN-16"
"MULTICARE VALLEY HOSPITAL","500119","WA","READM-30-HF-HRRP","241","","0.8702","18.0","20.6","35","01-JUL-13","30-JUN-16"
"MULTICARE VALLEY HOSPITAL","500119","WA","READM-30-HIP-KNEE-HRRP","493","","0.9704","4.0","4.1","19","01-JUL-13","30-JUN-16"
"MULTICARE VALLEY HOSPITAL","500119","WA","READM-30-PN-HRRP","616","","0.9738","15.3","15.8","93","01-JUL-13","30-JUN-16"
"EVERGREENHEALTH MEDICAL CENTER","500124","WA","READM-30-AMI-HRRP","256","","0.8804","13.3","15.1","26","01-JUL-13","30-JUN-16"
"EVERGREENHEALTH MEDICAL CENTER","500124","WA","READM-30-COPD-HRRP","243","","0.9568","19.4","20.3","44","01-JUL-13","30-JUN-16"
"EVERGREENHEALTH MEDICAL CENTER","500124","WA","READM-30-HIP-KNEE-HRRP","485","","0.9341","3.6","3.8","16","01-JUL-13","30-JUN-16"
"TACOMA GENERAL ALLENMORE HOSPITAL","500129","WA","READM-30-AMI-HRRP","304","","1.0417","16.9","16.2","54","01-JUL-13","30-JUN-16"
"TACOMA GENERAL ALLENMORE HOSPITAL","500129","WA","READM-30-PN-HRRP","744","","1.0338","17.2","16.7","130","01-JUL-13","30-JUN-16"
"SETON MEDICAL CENTER HAYS","670056","TX","READM-30-COPD-HRRP","183","","0.9931","19.4","19.5","35","01-JUL-13","30-JUN-16"
"EMERUS HOSPITAL","670058","TX","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SOUTH TEXAS SURGICAL HOSPITAL","670061","TX","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON","670067","TX","READM-30-HIP-KNEE-HRRP","540","","0.8616","3.3","3.8","15","01-JUL-13","30-JUN-16"
"FAITH REGIONAL HEALTH SERVICES","280125","NE","READM-30-PN-HRRP","326","","1.0905","18.1","16.6","64","01-JUL-13","30-JUN-16"
"CHI HEALTH LAKESIDE","280130","NE","READM-30-HF-HRRP","295","","0.9662","20.4","21.1","58","01-JUL-13","30-JUN-16"
"CHI HEALTH LAKESIDE","280130","NE","READM-30-HIP-KNEE-HRRP","431","","0.9794","3.8","3.9","16","01-JUL-13","30-JUN-16"
"KEARNEY REGIONAL MEDICAL CENTER","280134","NE","READM-30-COPD-HRRP","Not Available","","1.0355","19.6","19.0","Too Few to Report","01-JUL-13","30-JUN-16"
"SUNRISE HOSPITAL AND MEDICAL CENTER","290003","NV","READM-30-HIP-KNEE-HRRP","Not Available","","1.1074","4.7","4.3","Too Few to Report","01-JUL-13","30-JUN-16"
"UNIVERSITY MEDICAL CENTER","290007","NV","READM-30-CABG-HRRP","Not Available","","1.0275","14.4","14.0","Too Few to Report","01-JUL-13","30-JUN-16"
"NORTHEASTERN NEVADA REGIONAL HOSPITAL","290008","NV","READM-30-PN-HRRP","281","","1.0514","17.1","16.3","51","01-JUL-13","30-JUN-16"
"SAINT MARY'S REGIONAL MEDICAL CENTER","290009","NV","READM-30-PN-HRRP","651","","1.0178","16.9","16.6","111","01-JUL-13","30-JUN-16"
"LAREDO MEDICAL CENTER","450029","TX","READM-30-HF-HRRP","467","","1.0958","23.8","21.7","117","01-JUL-13","30-JUN-16"
"VHS HARLINGEN HOSPITAL COMPANY LLC","450033","TX","READM-30-HF-HRRP","436","","0.9366","20.6","22.0","86","01-JUL-13","30-JUN-16"
"CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH","450034","TX","READM-30-COPD-HRRP","449","","0.9982","19.9","19.9","89","01-JUL-13","30-JUN-16"
"CHRISTUS GOOD SHEPHERD MEDICAL CENTER- LONGVIEW","450037","TX","READM-30-AMI-HRRP","395","","1.0488","16.4","15.7","68","01-JUL-13","30-JUN-16"
"SEVIER VALLEY HOSPITAL","460026","UT","READM-30-HF-HRRP","Not Available","","0.9693","17.9","18.5","Too Few to Report","01-JUL-13","30-JUN-16"
"OREM COMMUNITY HOSPITAL","460043","UT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ST MARK'S HOSPITAL","460047","UT","READM-30-AMI-HRRP","143","","0.9290","12.3","13.2","13","01-JUL-13","30-JUN-16"
"ST MARK'S HOSPITAL","460047","UT","READM-30-PN-HRRP","553","","0.9619","13.4","13.9","72","01-JUL-13","30-JUN-16"
"CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS","500148","WA","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SWEDISH ISSAQUAH","500152","WA","READM-30-COPD-HRRP","106","","0.9465","17.9","18.9","15","01-JUL-13","30-JUN-16"
"GREENBRIER VALLEY MEDICAL CENTER","510002","WV","READM-30-COPD-HRRP","231","","1.0688","20.0","18.7","51","01-JUL-13","30-JUN-16"
"UNITED HOSPITAL CENTER","510006","WV","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"UNITED HOSPITAL CENTER","510006","WV","READM-30-COPD-HRRP","647","","1.1540","23.5","20.4","163","01-JUL-13","30-JUN-16"
"NORTHWEST MEDICAL CENTER","100189","FL","READM-30-COPD-HRRP","311","","1.0771","21.1","19.6","71","01-JUL-13","30-JUN-16"
"FAWCETT MEMORIAL HOSPITAL","100236","FL","READM-30-PN-HRRP","769","","1.0667","19.4","18.2","153","01-JUL-13","30-JUN-16"
"BAPTIST MEDICAL CENTER - NASSAU","100140","FL","READM-30-PN-HRRP","308","","0.9653","15.6","16.1","46","01-JUL-13","30-JUN-16"
"HEALTHMARK REGIONAL MEDICAL CENTER","100081","FL","READM-30-PN-HRRP","125","","0.9917","17.2","17.3","21","01-JUL-13","30-JUN-16"
"FLORIDA HOSPITAL WESLEY CHAPEL","100319","FL","READM-30-HIP-KNEE-HRRP","388","","0.9313","4.5","4.8","16","01-JUL-13","30-JUN-16"
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","310024","NJ","READM-30-PN-HRRP","455","","1.1311","20.4","18.0","100","01-JUL-13","30-JUN-16"
"NEWTON MEDICAL CENTER","310028","NJ","READM-30-PN-HRRP","555","","1.1574","19.2","16.6","115","01-JUL-13","30-JUN-16"
"KADLEC REGIONAL MEDICAL CENTER","500058","WA","READM-30-PN-HRRP","708","","0.9612","16.1","16.8","112","01-JUL-13","30-JUN-16"
"LEGACY SALMON CREEK MEDICAL CENTER","500150","WA","READM-30-HIP-KNEE-HRRP","540","","0.8713","3.4","3.9","16","01-JUL-13","30-JUN-16"
"GREENBRIER VALLEY MEDICAL CENTER","510002","WV","READM-30-HIP-KNEE-HRRP","Not Available","","0.9288","3.7","4.0","Too Few to Report","01-JUL-13","30-JUN-16"
"UNIVERSITY OF VERMONT MEDICAL CENTER","470003","VT","READM-30-HIP-KNEE-HRRP","691","","0.7202","3.0","4.2","15","01-JUL-13","30-JUN-16"
"NORTHWESTERN MEDICAL CENTER INC","470024","VT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NORTHWESTERN MEDICAL CENTER INC","470024","VT","READM-30-HF-HRRP","169","","0.9342","19.6","21.0","29","01-JUL-13","30-JUN-16"
"ST JOSEPH MEDICAL CENTER","260085","MO","READM-30-COPD-HRRP","272","","1.0378","21.1","20.3","60","01-JUL-13","30-JUN-16"
"CENTERPOINT MEDICAL CENTER","260095","MO","READM-30-AMI-HRRP","219","","1.0628","16.0","15.1","39","01-JUL-13","30-JUN-16"
"CENTERPOINT MEDICAL CENTER","260095","MO","READM-30-CABG-HRRP","Not Available","","1.0218","14.5","14.2","Too Few to Report","01-JUL-13","30-JUN-16"
"NORTH KANSAS CITY HOSPITAL","260096","MO","READM-30-HIP-KNEE-HRRP","1172","","1.3109","5.9","4.5","74","01-JUL-13","30-JUN-16"
"WESTERN MISSOURI MEDICAL CENTER","260097","MO","READM-30-COPD-HRRP","176","","0.9974","18.3","18.3","32","01-JUL-13","30-JUN-16"
"WESTERN MISSOURI MEDICAL CENTER","260097","MO","READM-30-HF-HRRP","156","","0.9438","18.2","19.3","25","01-JUL-13","30-JUN-16"
"SSM HEALTH DEPAUL HOSPITAL ST LOUIS","260104","MO","READM-30-PN-HRRP","666","","1.1407","19.9","17.4","140","01-JUL-13","30-JUN-16"
"SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL","260105","MO","READM-30-AMI-HRRP","91","","1.0757","19.8","18.4","23","01-JUL-13","30-JUN-16"
"SOUTHEASTHEALTH","260110","MO","READM-30-HF-HRRP","441","","1.0504","21.8","20.7","99","01-JUL-13","30-JUN-16"
"SOUTHEASTHEALTH","260110","MO","READM-30-PN-HRRP","651","","1.1082","18.9","17.1","129","01-JUL-13","30-JUN-16"
"MISSOURI DELTA MEDICAL CENTER","260113","MO","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"POPLAR BLUFF REGIONAL MEDICAL CENTER","260119","MO","READM-30-HF-HRRP","532","","1.1487","25.8","22.4","146","01-JUL-13","30-JUN-16"
"JORDAN VALLEY MEDICAL CENTER","460051","UT","READM-30-PN-HRRP","331","","0.8758","13.4","15.3","37","01-JUL-13","30-JUN-16"
"PARK CITY HOSPITAL","460057","UT","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"RIVERTON HOSPITAL","460058","UT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LONE PEAK HOSPITAL","460060","UT","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CENTRAL VERMONT MEDICAL CENTER","470001","VT","READM-30-AMI-HRRP","Not Available","","0.9341","17.0","18.2","Too Few to Report","01-JUL-13","30-JUN-16"
"MUSCOGEE (CREEK) NATION MEDICAL CENTER","370057","OK","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SHARE MEDICAL CENTER","370080","OK","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NORTHEASTERN HEALTH SYSTEM","370089","OK","READM-30-HIP-KNEE-HRRP","Not Available","","0.9121","3.8","4.2","Too Few to Report","01-JUL-13","30-JUN-16"
"O U MEDICAL CENTER","370093","OK","READM-30-AMI-HRRP","93","","1.0244","16.6","16.2","17","01-JUL-13","30-JUN-16"
"REGIONAL GENERAL HOSPITAL WILLISTON","100322","FL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TANNER MEDICAL CENTER VILLA RICA","110015","GA","READM-30-COPD-HRRP","93","","0.9538","18.8","19.7","14","01-JUL-13","30-JUN-16"
"PIEDMONT NEWTON HOSPITAL","110018","GA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"PIEDMONT HOSPITAL","110083","GA","READM-30-HIP-KNEE-HRRP","1048","","1.0917","4.2","3.9","46","01-JUL-13","30-JUN-16"
"CROUSE HOSPITAL","330203","NY","READM-30-HIP-KNEE-HRRP","669","","1.2347","5.2","4.2","39","01-JUL-13","30-JUN-16"
"MERCY HOSPITAL CLERMONT","360236","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SOUTH TEXAS SPINE AND SURGICAL HOSPITAL","450856","TX","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"COORDINATED HEALTH ORTHOPEDIC HOSPITAL","390314","PA","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"COORDINATED HEALTH ORTHOPEDIC HOSPITAL","390314","PA","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH","390321","PA","READM-30-HIP-KNEE-HRRP","458","","0.9225","3.8","4.1","16","01-JUL-13","30-JUN-16"
"MERCY MEDICAL CENTER","330259","NY","READM-30-COPD-HRRP","325","","1.1360","23.2","20.4","85","01-JUL-13","30-JUN-16"
"ST LUKE'S CORNWALL HOSPITAL","330264","NY","READM-30-COPD-HRRP","402","","1.0432","20.1","19.3","84","01-JUL-13","30-JUN-16"
"NORTON COMMUNITY HOSPITAL","490001","VA","READM-30-COPD-HRRP","200","","0.9657","21.3","22.1","40","01-JUL-13","30-JUN-16"
"NORTON COMMUNITY HOSPITAL","490001","VA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SENTARA RMH MEDICAL CENTER","490004","VA","READM-30-COPD-HRRP","437","","1.0012","20.1","20.1","88","01-JUL-13","30-JUN-16"
"WINCHESTER MEDICAL CENTER","490005","VA","READM-30-HF-HRRP","1520","","1.0750","22.5","20.9","346","01-JUL-13","30-JUN-16"
"BON SECOURS DEPAUL MEDICAL CENTER","490011","VA","READM-30-AMI-HRRP","91","","1.0795","17.6","16.3","21","01-JUL-13","30-JUN-16"
